* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
* Note to Katu: look for [^.*(heyword).*\n?] when mass deleting lines. Omit []. Alt+Enter to select all and Delete to del.
*
1, none, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
2, none, terralith:alpha_islands, MONSTER, minecraft:zombie, 80, 4, 4
3, none, terralith:alpha_islands, MONSTER, minecraft:skeleton, 80, 4, 4
4, none, terralith:alpha_islands, MONSTER, minecraft:creeper, 80, 4, 4
5, none, terralith:alpha_islands, MONSTER, minecraft:slime, 80, 4, 4
6, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
7, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
8, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
9, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
10, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
11, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
12, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
13, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
14, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
15, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
17, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
18, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
19, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
20, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
21, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
22, none, terralith:alpha_islands, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
23, none, terralith:alpha_islands, CREATURE, minecraft:sheep, 12, 2, 2
24, none, terralith:alpha_islands, CREATURE, minecraft:pig, 10, 2, 2
25, none, terralith:alpha_islands, CREATURE, minecraft:chicken, 10, 2, 2
26, none, terralith:alpha_islands, CREATURE, minecraft:cow, 10, 2, 2
27, none, terralith:alpha_islands, CREATURE, minecraft:wolf, 10, 2, 2
28, none, terralith:alpha_islands, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
29, none, terralith:alpha_islands, AMBIENT, distantfriends:friend, 20, 1, 2
30, none, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
31, none, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:axolotl, 10, 4, 6
32, none, terralith:alpha_islands, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
33, none, terralith:alpha_islands, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
34, none, terralith:alpha_islands, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
35, none, terralith:alpha_islands, WATER_AMBIENT, fishofthieves:devilfish, 10, 1, 2
36, none, terralith:alpha_islands, EITD_EYES, eyesinthedarkness:eyes, 10, 1, 1
37, none, terralith:alpha_islands_winter, MONSTER, minecraft:spider, 80, 4, 4
38, none, terralith:alpha_islands_winter, MONSTER, minecraft:zombie, 80, 4, 4
39, none, terralith:alpha_islands_winter, MONSTER, minecraft:skeleton, 80, 4, 4
40, none, terralith:alpha_islands_winter, MONSTER, minecraft:creeper, 80, 4, 4
41, none, terralith:alpha_islands_winter, MONSTER, minecraft:slime, 80, 4, 4
42, none, terralith:alpha_islands_winter, MONSTER, graveyard:nightmare, 10, 1, 1
43, none, terralith:alpha_islands_winter, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
44, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
45, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
46, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
47, none, terralith:alpha_islands_winter, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
