* This is the StructMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to StructMobWeight.csv.
* Lines starting with '*' are comments and ignored
* It allows you to add and remove mobs and adjust their spawnweights for Structures
* like shipwrecks, nether fortresses, water monuments, etc.
* 
1, graveyard:altar, HEADING, header:ignore, 0, 0, 0
2, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
12, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
13, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
20, graveyard:crypt, HEADING, header:ignore, 0, 0, 0
21, graveyard:crypt, MONSTER, graveyard:acolyte, 25, 1, 1
21, graveyard:crypt, MONSTER, graveyard:nameless_hanged, 25, 1, 1
22, graveyard:crypt, MONSTER, graveyard:corrupted_vindicator, 35, 1, 3
23, graveyard:crypt, MONSTER, graveyard:corrupted_pillager, 35, 1, 3
27, graveyard:dead_tree, HEADING, header:ignore, 0, 0, 0
28, terralith:desert_outpost, HEADING, header:ignore, 0, 0, 0
29, terralith:desert_outpost, MONSTER, minecraft:pillager, 10, 1, 1
30, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
31, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
35, tide:fishing_boat, HEADING, header:ignore, 0, 0, 0
36, tide:fishing_hut, HEADING, header:ignore, 0, 0, 0
37, terralith:fortified_desert_village, HEADING, header:ignore, 0, 0, 0
38, terralith:fortified_village, HEADING, header:ignore, 0, 0, 0
39, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
40, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
41, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
42, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
43, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
44, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
46, graveyard:giant_mushroom, HEADING, header:ignore, 0, 0, 0
47, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
50, graveyard:haunted_house, HEADING, header:ignore, 0, 0, 0
50, graveyard:haunted_house, MONSTER, graveyard:nameless_hanged, 25, 1, 1
51, aquamirae:ice_maze/arch, HEADING, header:ignore, 0, 0, 0
52, aquamirae:ice_maze/arch, MONSTER, aquamirae:maw, 50, 1, 2
53, aquamirae:ice_maze/arch, AMBIENT, aquamirae:golden_moth, 10, 1, 2
54, aquamirae:ice_maze/common, HEADING, header:ignore, 0, 0, 0
55, aquamirae:ice_maze/common, MONSTER, aquamirae:maw, 50, 1, 2
56, aquamirae:ice_maze/spiral, HEADING, header:ignore, 0, 0, 0
57, aquamirae:ice_maze/spiral, MONSTER, aquamirae:maw, 50, 2, 6
58, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
59, terralith:igloo, HEADING, header:ignore, 0, 0, 0
61, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
62, graveyard:large_graveyard, HEADING, header:ignore, 0, 0, 0
63, graveyard:large_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
64, graveyard:large_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
65, graveyard:large_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
67, watching:leafless_grove, HEADING, header:ignore, 0, 0, 0
68, graveyard:lich_prison, HEADING, header:ignore, 0, 0, 0
69, watching:logless_tree/acacia, HEADING, header:ignore, 0, 0, 0
70, watching:logless_tree/birch, HEADING, header:ignore, 0, 0, 0
71, watching:logless_tree/oak, HEADING, header:ignore, 0, 0, 0
72, watching:logless_tree/spruce, HEADING, header:ignore, 0, 0, 0
73, terralith:mage_complex, HEADING, header:ignore, 0, 0, 0
74, terralith:mage_tower, HEADING, header:ignore, 0, 0, 0
75, terralith:mage_tower_autumn, HEADING, header:ignore, 0, 0, 0
76, terralith:mage_tower_spring, HEADING, header:ignore, 0, 0, 0
77, terralith:mage_tower_summer, HEADING, header:ignore, 0, 0, 0
78, terralith:mage_tower_winter, HEADING, header:ignore, 0, 0, 0
79, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
80, graveyard:medium_graveyard, HEADING, header:ignore, 0, 0, 0
